epoch,train_loss,train_recon,train_kl,val_loss,val_recon,val_kl,lr,beta
1,0.7314209686948898,0.7314199389295375,0.15464988008458563,0.6703319533843298,0.6703307016867895,0.18863889704974138,4.000000000000002e-06,6.666666666666667e-06
2,0.6655097659598006,0.6655070969398985,0.20011275499425035,0.6489867349183583,0.6489836950814748,0.22603136733265,6.3572051991786196e-06,1.3333333333333333e-05
3,0.6478873044886487,0.6478826203244797,0.23417058244664618,0.6385898521173798,0.6385846069086396,0.2617899333004052,1.3197303448754652e-05,2e-05
4,0.6388771579620686,0.6388701177657918,0.2639286767929158,0.6317260780392505,0.6317185028087778,0.28457462962935953,2.3848481617195106e-05,2.6666666666666667e-05
5,0.6269743701244922,0.6269654365296059,0.2680156553045232,0.6162373117694506,0.6162276116877976,0.2909414015000055,3.7264614181332204e-05,3.3333333333333335e-05
6,0.6129137866040494,0.6129028535903769,0.27327427204619065,0.6038449762075474,0.6038334260847699,0.2888114145271193,5.212801041478874e-05,4e-05
7,0.5994356462296019,0.5994220515514942,0.2913920757618356,0.5913384261769649,0.5913232215519609,0.3259320421102806,6.697883386427492e-05,4.666666666666667e-05
8,0.5895983416983421,0.5895807311889973,0.3301763179454398,0.5785037968269952,0.5784840158226524,0.3708998407964532,8.035848293615685e-05,5.333333333333333e-05
9,0.5823316612142198,0.5823106255937129,0.3506173235304812,0.5771219763020715,0.5771005186299524,0.3575640827356923,9.095285019895851e-05,6e-05
10,0.5741388780005434,0.5741150795145238,0.356963456184306,0.5693752179281223,0.5693500252331004,0.3779698401145471,9.772138991960139e-05,6.666666666666667e-05
11,0.565567881249367,0.565540910781698,0.36772988261060513,0.5739066361413766,0.5738785746856828,0.38248512052135586,9.999999124917575e-05,7.333333333333333e-05
12,0.5596762705356517,0.5596458637968023,0.3801190731373239,0.571409445626257,0.571376882025001,0.40698464755837865,9.996850033974883e-05,8e-05
13,0.5528866861728912,0.5528530115776874,0.38857738071299613,0.5597778480144834,0.5597394933323347,0.44256709857596344,9.987613075338455e-05,8.666666666666667e-05
14,0.5481945618670038,0.5481572648312183,0.39958591537272675,0.5662026128469084,0.5661629199014474,0.4252005272656377,9.972299502819542e-05,9.333333333333334e-05
15,0.5349659830965894,0.5349275264334171,0.38458663009582683,0.5601921707814895,0.5601512029253203,0.40969732615333543,9.950927973647388e-05,0.0001
16,0.5301303034133099,0.5300911073989056,0.3919289071509179,0.5592050894520587,0.5591613001078669,0.4378682818664257,9.923524525738255e-05,0.0001
17,0.5225445704257234,0.5225046667646854,0.3990143153261631,0.5613714336865331,0.5613282613048205,0.43167029572065174,9.89012254597224e-05,0.0001
18,0.5179516373796665,0.5179109007754225,0.4073951929173571,0.56080713100414,0.5607601562571574,0.46968941103372325,9.850762729516514e-05,0.0001
19,0.5103788210990581,0.5103372312606649,0.41586704216104875,0.5667058085573131,0.5666633336587562,0.4248108939394264,9.805493030244506e-05,0.0001
20,0.5052776003137548,0.5052355177859043,0.4207861729124759,0.5609014189025693,0.5608547338365784,0.46676450532541797,9.754368602311521e-05,0.0001
21,0.4960316575588064,0.4959894503684754,0.42203069265852583,0.5680239963483134,0.5679810500531844,0.42947857169543996,9.697451732957879e-05,0.0001
