epoch,train_loss,train_ppl,val_loss,val_ppl,lr
1,5.087135932380273,161.9254150390625,4.003015631972012,54.763038635253906,0.0002
2,3.742127374648655,42.187644958496094,3.5000444106274267,33.116920471191406,0.0002
3,3.3647233802446315,28.92549705505371,3.2815034696734138,26.61575698852539,0.0002
4,3.1377014613483913,23.050823211669922,3.1585708439635347,23.53693199157715,0.0002
5,2.9783004293938444,19.654382705688477,3.0806124124697845,21.771732330322266,0.0002
6,2.8421203384114517,17.152095794677734,3.0338004199207327,20.776039123535156,0.0002
7,2.729246255827097,15.321332931518555,2.999593776130825,20.07737922668457,0.0002
8,2.6223596224323904,13.768171310424805,2.9833812241319038,19.754499435424805,0.0002
9,2.5263686971689303,12.508002281188965,2.9854671503537342,19.795747756958008,0.0002
10,2.433061019975907,11.393706321716309,2.9844307551718954,19.77524185180664,0.0002
11,2.342480456352345,10.407018661499023,2.9933893483517013,19.953197479248047,0.0002
12,2.191517597662027,8.948782920837402,2.9933127563518953,19.951669692993164,0.0001
13,2.120271119701615,8.333396911621094,3.011532039855953,20.318506240844727,0.0001
