epoch,train_loss,val_loss,lr
9,0.216076208791755,0.2484440951634515,6.257120386687002e-05
1,0.08522857840617554,0.08822513501129682,5e-06
2,0.08565956285741042,0.08263035787473082,5e-06
10,0.21973767592472598,0.22820905224997023,5.4406624578180096e-05
3,0.08314146306229497,0.08798130915918753,5e-06
11,0.2229240063776044,0.21707692102864687,4.612103420972922e-05
4,0.08388363269449985,0.08364181394541734,5e-06
12,0.2239630646587528,0.2206895020205965,3.79419647917947e-05
5,0.08233694641125151,0.08638862048667904,5e-06
13,0.22165663597629742,0.21920509624336412,3.0094023164406625e-05
6,0.08270167327489694,0.08255791912790433,5e-06
14,0.21378095791219398,0.20095617462869597,2.2792723010063316e-05
7,0.08370907823357018,0.08495662466581413,5e-06
15,0.21668412246483754,0.21463982252637867,1.6238566595218473e-05
