epoch,train_loss,train_ppl,val_loss,val_ppl,lr
1,5.11135531137919,165.89503479003906,3.9991992195768824,54.554443359375,0.0002
2,3.751447040472099,42.5826530456543,3.5103914422351976,33.46136474609375,0.0002
3,3.36858127253346,29.037302017211914,3.283527818902707,26.669692993164062,0.0002
4,3.1430834039922564,23.175212860107422,3.1522532700336283,23.388704299926758,0.0002
5,2.9775692233488598,19.6400203704834,3.07904999107139,21.737743377685547,0.0002
6,2.8440078568692333,17.18450355529785,3.024995291719921,20.593908309936523,0.0002
7,2.7301445970898053,15.335103034973145,2.9909869677243135,19.90532112121582,0.0002
8,2.6261780001457873,13.820845603942871,2.9869202763250104,19.824535369873047,0.0002
9,2.528910934441311,12.539840698242188,2.983079268284474,19.748533248901367,0.0002
10,2.436637863520589,11.434532165527344,2.9791177860165283,19.67045783996582,0.0002
11,2.3473734117790186,10.458065032958984,2.98952546770553,19.876249313354492,0.0002
12,2.2640932722525027,9.622394561767578,3.013851974525298,20.36569595336914,0.0002
13,2.1854162000407595,8.894350051879883,3.0320007113086236,20.738683700561523,0.0002
14,2.0433217837693864,7.716198921203613,3.033370818492633,20.767114639282227,0.0001
15,1.9771323102920346,7.222002983093262,3.069919473899047,21.540170669555664,0.0001
